year,month,day,ppm
1969,08,20,323.170
1969,08,20,324.720
1969,08,27,326.280
1969,08,27,322.870
1969,09,02,320.320
1969,09,02,320.310
1969,09,02,322.900
1969,09,12,320.790
1969,09,12,320.440
1969,09,12,321.150
1969,09,12,321.400
1969,09,24,320.280
1969,09,24,320.250
1969,09,24,321.760
1969,09,24,321.270
1969,10,03,320.660
1969,10,03,320.410
1969,10,17,321.400
1969,10,17,321.300
1969,10,17,320.740
1969,10,17,320.370
1969,10,31,320.500
1969,10,31,320.230
1969,10,31,320.700
1969,10,31,321.030
1969,11,19,323.090
1969,11,19,322.700
1969,11,19,322.700
1969,11,19,321.900
1969,12,10,322.940
1969,12,10,323.070
1969,12,10,323.290
1969,12,10,323.310
1970,01,12,325.590
1970,01,12,324.850
1970,01,12,324.730
1970,01,12,330.810
1970,01,24,325.640
1970,01,24,325.400
1970,01,24,332.270
1970,01,24,347.490
1970,02,06,325.940
1970,02,06,325.620
1970,02,06,325.620
1970,02,06,326.700
1970,02,17,325.520
1970,02,17,324.610
1970,02,17,324.480
1970,03,07,326.490
1970,03,07,325.600
1970,03,07,325.930
1970,03,28,335.700
1970,03,28,325.820
1970,03,28,325.330
1970,03,28,325.510
1970,04,07,354.500
1970,04,07,336.400
1970,04,07,323.590
1970,04,07,325.810
1970,04,17,327.580
1970,04,17,327.130
1970,04,18,326.080
1970,04,18,326.200
1970,05,01,328.730
1970,05,01,329.910
1970,05,01,337.260
1970,05,01,329.030
1970,05,15,327.160
1970,05,15,329.290
1970,05,16,326.760
1970,05,16,326.720
1970,06,08,328.040
1970,06,08,328.970
1970,06,08,327.660
1970,06,08,327.720
1970,07,03,326.200
1970,07,03,326.260
1970,07,03,323.210
1970,07,03,323.200
1970,07,10,326.550
1970,07,10,326.550
1970,07,10,326.530
1970,07,24,324.820
1970,07,24,324.700
1970,07,24,326.140
1970,07,24,326.140
1970,08,12,325.500
1970,08,12,325.400
1970,08,12,318.320
1970,08,12,317.890
1970,08,24,322.160
1970,08,24,322.210
1970,08,24,324.780
1970,09,05,320.850
1970,09,05,320.520
1970,09,05,317.350
1970,09,05,317.070
1970,09,18,322.360
1970,09,18,322.350
1970,09,18,330.610
1970,11,24,328.650
1970,11,24,346.230
1970,11,24,334.440
1970,11,24,326.080
1970,11,24,325.500
1970,11,24,327.530
1970,11,24,327.020
1970,11,24,397.560
1970,11,24,349.930
1970,11,24,329.250
1970,11,24,374.450
1970,11,24,380.480
1970,11,24,326.390
1970,11,24,327.720
1971,08,03,326.490
1971,08,03,325.910
1971,08,03,325.370
1971,08,03,325.990
1971,08,04,325.420
1971,08,04,325.090
1971,08,04,325.570
1971,08,04,325.480
1971,08,04,325.340
1971,08,04,325.410
1971,08,04,325.610
1971,08,04,325.530
1971,08,04,328.000
1971,08,04,324.910
1971,08,04,326.720
1971,08,04,325.610
1971,08,04,325.320
1971,08,04,324.810
1971,08,04,324.990
1971,08,04,325.230
1971,08,04,325.000
1971,08,04,324.860
1971,08,04,325.470
1971,08,04,325.340
1974,05,15,333.990
1974,05,15,344.910
1974,05,15,334.140
1974,05,15,343.450
1974,05,15,377.350
1974,05,15,335.060
1974,05,15,336.580
1976,06,18,333.720
1976,06,18,334.020
1976,07,16,331.900
1976,07,16,331.900
1976,07,30,332.190
1976,07,30,332.380
1976,08,06,331.540
1976,08,06,331.410
1976,08,13,330.600
1976,08,13,331.320
1976,08,15,329.000
1976,08,15,329.340
1976,08,19,330.790
1976,08,19,330.890
1976,08,24,330.070
1976,08,24,329.920
1976,09,03,330.360
1976,09,03,330.300
1976,09,10,329.980
1976,09,10,329.980
1976,09,17,329.870
1976,09,17,329.970
1976,09,21,329.240
1976,09,21,329.240
1976,09,30,329.530
1976,09,30,329.440
1976,10,15,327.340
1976,10,15,328.160
1976,10,20,327.940
1976,10,20,327.830
1976,10,26,330.730
1976,10,26,330.800
1976,11,01,329.730
1976,11,01,329.590
1976,11,01,349.020
1976,11,01,329.280
1976,11,01,329.120
1976,11,01,331.340
1976,11,04,331.350
1976,11,04,330.980
1976,11,10,330.560
1976,11,10,331.230
1976,11,19,331.030
1976,11,19,330.750
1976,11,23,331.100
1976,11,23,330.930
1976,12,03,331.250
1976,12,03,331.200
1976,12,08,331.020
1976,12,08,332.090
1976,12,17,332.290
1976,12,17,332.020
1976,12,30,333.440
1976,12,30,332.270
1977,01,07,332.330
1977,01,07,332.270
1977,01,14,332.760
1977,01,14,332.530
1977,01,21,333.310
1977,01,21,332.910
1977,01,27,333.100
1977,01,27,333.360
1977,02,03,332.590
1977,02,03,332.080
1977,02,11,333.100
1977,02,11,333.040
1977,02,17,333.170
1977,02,17,333.270
1977,02,25,333.410
1977,02,25,333.290
1977,03,04,334.320
1977,03,04,334.480
1977,03,10,333.460
1977,03,10,333.630
1977,03,18,333.400
1977,03,18,333.330
1977,03,25,334.750
1977,03,25,334.840
1977,04,01,334.820
1977,04,01,334.740
1977,04,15,335.690
1977,04,15,335.690
1977,04,21,336.350
1977,04,21,336.440
1977,04,29,336.570
1977,04,29,336.330
1977,05,05,337.520
1977,05,05,337.590
1977,05,19,336.670
1977,05,19,336.290
1977,05,27,336.010
1977,05,27,336.270
1977,06,03,336.340
1977,06,03,336.760
1977,06,08,337.620
1977,06,08,337.430
1977,06,14,335.760
1977,06,14,341.490
1977,06,21,335.730
1977,06,21,335.820
1977,06,30,335.320
1977,06,30,335.320
1977,07,08,337.140
1977,07,08,334.860
1977,07,14,335.430
1977,07,14,335.390
1977,07,22,335.370
1977,07,22,334.350
1977,07,29,334.390
1977,07,29,336.150
1977,08,17,331.610
1977,08,17,331.260
1977,08,24,332.050
1977,08,24,331.730
1977,09,01,330.980
1977,09,01,330.830
1977,09,14,331.120
1977,09,14,331.050
1977,09,22,330.560
1977,09,22,330.230
1977,09,27,331.010
1977,09,27,331.070
1977,10,05,330.480
1977,10,05,330.470
1977,10,14,332.380
1977,10,14,331.240
1977,10,18,330.180
1977,10,18,330.290
1977,10,26,330.040
1977,10,26,329.760
1977,11,04,331.750
1977,11,04,352.970
1977,11,10,331.490
1977,11,10,331.030
1977,11,16,332.490
1977,11,16,332.090
1977,11,25,332.180
1977,11,25,331.970
1977,12,01,332.310
1977,12,01,331.890
1977,12,09,333.350
1977,12,09,333.390
1977,12,15,333.310
1977,12,15,333.230
1977,12,20,334.380
1977,12,20,333.860
1977,12,29,334.990
1977,12,29,334.820
1978,01,06,335.160
1978,01,06,334.530
1978,01,12,333.800
1978,01,12,334.170
1978,01,18,336.420
1978,01,18,335.760
1978,02,03,336.130
1978,02,03,336.290
1978,02,11,334.730
1978,02,11,335.310
1978,02,17,335.890
1978,02,17,335.570
1978,02,24,336.300
1978,02,24,336.230
1978,03,03,335.490
1978,03,03,335.950
1978,03,10,336.040
1978,03,10,336.500
1978,03,24,337.000
1978,03,24,337.380
1978,03,31,337.650
1978,03,31,338.350
1978,04,07,337.880
1978,04,07,337.950
1978,04,14,338.160
1978,04,14,337.930
1978,04,21,336.620
1978,04,21,336.930
1978,04,28,338.330
1978,04,28,337.940
1978,05,05,337.670
1978,05,05,338.280
1978,05,12,338.060
1978,05,12,338.250
1978,05,19,346.700
1978,05,19,342.550
1978,05,26,339.450
1978,05,26,339.460
1978,06,02,341.190
1978,06,02,336.160
1978,06,16,337.360
1978,06,16,337.310
1978,06,23,337.650
1978,06,23,337.460
1978,06,30,337.400
1978,06,30,337.760
1978,07,14,336.230
1978,07,14,336.270
1978,07,21,335.550
1978,07,28,334.710
1978,07,28,334.930
1978,08,04,335.720
1978,08,04,349.690
1978,08,11,332.550
1978,08,11,332.200
1978,08,18,334.130
1978,08,18,332.370
1978,08,25,333.470
1978,08,25,333.370
1978,09,01,333.500
1978,09,01,333.390
1978,09,08,331.140
1978,09,08,331.360
1978,09,15,331.760
1978,09,15,331.870
1978,09,22,331.710
1978,09,22,332.260
1978,09,29,332.940
1978,09,29,332.960
1978,10,06,331.930
1978,10,06,339.570
1978,10,13,331.490
1978,10,13,331.380
1978,10,20,333.750
1978,10,20,355.590
1978,10,27,332.500
1978,10,27,332.610
1978,11,03,333.520
1978,11,03,333.800
1978,11,03,332.920
1978,11,03,333.360
1978,11,09,333.620
1978,11,09,333.700
1978,11,17,333.280
1978,11,17,333.260
1978,11,24,333.810
1978,11,24,333.960
1978,12,01,333.890
1978,12,01,333.460
1978,12,08,333.820
1978,12,08,333.750
1978,12,15,333.840
1978,12,15,334.020
1978,12,22,335.150
1978,12,22,335.270
1978,12,29,335.240
1978,12,29,334.750
1979,01,05,338.390
1979,01,12,336.670
1979,01,12,336.990
1979,01,19,335.920
1979,01,19,336.230
1979,01,24,336.690
1979,01,24,336.800
1979,02,02,336.950
1979,02,02,336.380
1979,02,09,338.710
1979,02,09,342.760
1979,02,16,336.500
1979,02,16,336.900
1979,02,21,336.710
1979,02,21,338.070
1979,03,02,337.080
1979,03,02,337.470
1979,03,09,339.240
1979,03,09,344.540
1979,03,16,338.350
1979,03,16,338.880
1979,03,23,339.750
1979,03,23,339.230
1979,03,30,339.350
1979,03,30,339.600
1979,04,06,337.150
1979,04,06,336.880
1979,04,13,339.520
1979,04,13,338.790
1979,04,20,338.380
1979,04,20,338.600
1979,04,27,338.940
1979,04,27,338.410
1979,05,04,341.560
1979,05,04,342.570
1979,05,11,338.610
1979,05,11,338.170
1979,05,18,338.360
1979,05,18,338.360
1979,05,25,340.180
1979,05,25,340.140
1979,06,01,339.490
1979,06,01,339.280
1979,06,08,340.830
1979,06,08,341.220
1979,06,15,338.540
1979,06,15,338.660
1979,06,22,339.190
1979,06,22,339.550
1979,06,29,338.660
1979,06,29,338.590
1979,07,06,337.900
1979,07,06,338.020
1979,07,13,338.120
1979,07,13,338.000
1979,07,20,337.000
1979,07,20,336.960
1979,07,27,334.110
1979,07,27,334.040
1979,08,03,337.120
1979,08,03,338.800
1979,08,10,335.940
1979,08,10,335.860
1979,08,17,330.210
1979,08,17,330.470
1979,08,24,333.640
1979,08,24,333.740
1979,08,31,336.080
1979,08,31,335.560
1979,09,07,335.020
1979,09,07,334.870
1979,09,07,334.930
1979,09,07,335.260
1979,09,14,333.910
1979,09,14,333.630
1979,09,21,333.940
1979,09,21,341.320
1979,09,28,333.650
1979,09,28,333.360
1979,10,05,333.750
1979,10,05,333.650
1979,10,12,333.340
1979,10,12,333.340
1979,10,19,337.190
1979,10,19,340.600
1979,10,26,335.250
1979,10,26,335.480
1979,11,02,334.510
1979,11,02,340.440
1979,11,09,337.000
1979,11,09,336.610
1979,11,16,341.170
1979,11,16,344.280
1979,11,23,335.930
1979,11,23,336.150
1979,11,30,335.330
1979,11,30,335.180
1979,12,07,335.810
1979,12,07,336.340
1979,12,07,334.940
1979,12,07,335.010
1979,12,14,338.190
1979,12,14,336.550
1979,12,21,335.860
1979,12,21,336.000
1979,12,28,338.570
1979,12,28,338.400
1980,01,04,347.230
1980,01,04,352.000
1980,01,11,350.250
